Project code,ALMA source name,RA,Dec,Band,Cont. sens.,Frequency support,Release date,Publications,Ang. res.,Min. vel. res.,Array,Mosaic,Max. reco. scale,FOV,Scientific category,Science keyword,Int. Time,Gal. lon.,Gal. lat.,Min. freq. res.,Pol products,L5 BL,L80 BL,Obs. date,PI name,SB name,Proposal authors,Line sens. (10 km/s),PWV,Group ous id,Member ous id,Asdm,Project title,Type,Scan intent,QA2 Status,Collections
2011.0.00061.S,NGC 253,11.88875,-25.289722222222224,7,0.13571525087305455,"[328.36..330.23GHz,976.56kHz,3.88mJy/beam@10km/s,0.30uJy/beam@native, XX YY,line] U [329.69..331.57GHz,976.56kHz,3.88mJy/beam@10km/s,0.30uJy/beam@native, XX YY,line] U [339.74..341.61GHz,976.56kHz,3.34mJy/beam@10km/s,0.26uJy/beam@native, XX YY,line] U [341.63..343.50GHz,976.56kHz,3.12mJy/beam@10km/s,0.24uJy/beam@native, XX YY,line]",2013-05-10,4,0.9808980356149654,0.8523829018526263,12m,,8.746726583082852,17.333777913428133,Active galaxies,"Starbursts, star formation, Giant Molecular Clouds (GMC) properties",3024,97.3693071678149,-87.96560371892474,976.6657124655829, XX YY,22.843227,100.79989,2011-11-27,"Takano, Shuro",NGC253_band7,"Herbst, Eric; Kohno, Kotaro; Nakajima, Tac; Harada, Nanase;",3.1202679849053463,1.0973703861236572,,uid://A002/X303d22/X6d,2,"Imaging study of molecules in the nearby galaxies NGC 1068 and NGC 253: Effects of active galactic nucleus and starburst on the shock/dust related molecules SO, HNCO, CH3OH, and CH3CN",S,TARGET WVR,PASS,
2011.0.00172.S,NGC253,11.888107252970965,-25.288193768875324,3,0.10492567505892679,"[99.91..101.79GHz,976.56kHz,4.95mJy/beam@10km/s,0.21uJy/beam@native, XX YY,line] U [101.78..103.66GHz,976.56kHz,4.90mJy/beam@10km/s,0.21uJy/beam@native, XX YY,line] U [111.91..113.79GHz,976.56kHz,4.69mJy/beam@10km/s,0.21uJy/beam@native, XX YY,line] U [113.86..115.74GHz,976.56kHz,4.65mJy/beam@10km/s,0.21uJy/beam@native, XX YY,line]",2013-06-19,14,2.7011386092795364,2.5298007135554146,12m,mosaic,28.889842052967836,98.70346943206084,Active galaxies,"Starbursts, star formation, Spiral galaxies",1949.448,97.37277003526948,-87.9639691499573,976.6588334893868, XX YY,25.41343,115.4572,2011-12-30,"Bolatto, Alberto",NGC253 B3 Compact v1,"Scoville, Nick; Nguyen, Kim-Yen; Ott, Juergen; Walter, Fabian; Leroy, Adam; Ostriker, Eve; Weiss, Axel; Zwaan, Martin; Rosolowsky, Erik; Hodge, Jacqueline; Veilleux, Sylvain;",4.651298443795453,6.438459396362305,,uid://A001/X74/X176,4,"The Life Cycle of the Molecular Gas in the Nearest Nuclear Starburst: GMCs, Molecular Superwind, and Feedback v2.5",S,TARGET WVR,PASS,
2011.0.00172.S,NGC253,11.888040000000002,-25.288280000000004,3,0.045799984784950544,"[85.69..87.57GHz,976.56kHz,2.33mJy/beam@10km/s,0.09uJy/beam@native, XX YY,line] U [87.52..89.40GHz,976.56kHz,2.31mJy/beam@10km/s,0.09uJy/beam@native, XX YY,line] U [97.58..99.45GHz,976.56kHz,2.17mJy/beam@10km/s,0.09uJy/beam@native, XX YY,line] U [99.44..101.32GHz,976.56kHz,2.19mJy/beam@10km/s,0.09uJy/beam@native, XX YY,line]",2013-08-28,14,1.3232500884640153,2.889516764911334,12m,mosaic,13.610586234778145,109.1272221670387,Active galaxies,"Starbursts, star formation, Spiral galaxies",2576.102,97.3701761252767,-87.96401682430805,976.5022842013478, XX YY,68.148155,263.7425,2012-05-07,"Bolatto, Alberto",NGC253 B3 Extended v1,"Scoville, Nick; Nguyen, Kim-Yen; Ott, Juergen; Walter, Fabian; Leroy, Adam; Ostriker, Eve; Weiss, Axel; Zwaan, Martin; Rosolowsky, Erik; Hodge, Jacqueline; Veilleux, Sylvain;",2.1696493281687337,1.170809268951416,,uid://A002/X327408/X329,3,"The Life Cycle of the Molecular Gas in the Nearest Nuclear Starburst: GMCs, Molecular Superwind, and Feedback v2.5",S,TARGET,PASS,
2011.0.00061.S,NGC 253,11.88875,-25.289722222222224,3,0.021906372062242427,"[96.37..98.25GHz,976.56kHz,1.02mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line] U [98.37..100.25GHz,976.56kHz,1.01mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line] U [108.41..110.29GHz,976.56kHz,0.97mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line] U [109.41..111.29GHz,976.56kHz,1.09mJy/beam@10km/s,0.05uJy/beam@native, XX YY,line]",2014-01-08,4,1.5191352405406253,2.630624639588777,12m,,15.394118027808272,56.08177749209627,Active galaxies,"Starbursts, star formation, Giant Molecular Clouds (GMC) properties",3024,97.3693071678149,-87.96560371892474,976.528733384028, XX YY,39.853172,219.0508,2012-08-10,"Takano, Shuro",NGC253_band3,"Herbst, Eric; Kohno, Kotaro; Nakajima, Tac; Harada, Nanase;",0.9670142920923295,1.4453248977661133,,uid://A002/X303d22/X69,2,"Imaging study of molecules in the nearby galaxies NGC 1068 and NGC 253: Effects of active galactic nucleus and starburst on the shock/dust related molecules SO, HNCO, CH3OH, and CH3CN",S,TARGET,PASS,
2012.1.00108.S,NGC253,11.88922310890479,-25.28823166048208,3,0.4805810474960152,"[99.76..101.75GHz,976.56kHz,27.76mJy/beam@10km/s,1.14uJy/beam@native, XX YY,line] U [101.62..103.61GHz,976.56kHz,27.51mJy/beam@10km/s,1.14uJy/beam@native, XX YY,line] U [111.75..113.74GHz,976.56kHz,19.48mJy/beam@10km/s,0.85uJy/beam@native, XX YY,line] U [113.71..115.70GHz,976.56kHz,19.32mJy/beam@10km/s,0.85uJy/beam@native, XX YY,line]",2015-03-31,5,7.766800027286894,2.530546137392038,7m,mosaic,68.15653714205769,178.60862659744868,Active galaxies,"Starbursts, star formation, Outflows, jets, feedback",6337.016,97.39810530806542,-87.96442930213847,976.6069822817466, XX YY,9.084023,34.526413,2013-10-07,"Bolatto, Alberto",NGC253_115_ACA,"Scoville, Nick; Ott, Juergen; Walter, Fabian; Leroy, Adam; Ostriker, Eve; Weiss, Axel; Zwaan, Martin; Rosolowsky, Erik; Hodge, Jacqueline; Veilleux, Sylvain;",19.31713805173688,5.185999870300293,uid://A002/X5a9a13/X716,uid://A002/X5a9a13/X719,10,"A Deeper Look into the Life Cycle of the Molecular Gas in the Nearest Nuclear Starburst: GMCs, Molecular Superwind, and Feedback",S,TARGET,PASS,
2012.1.00108.S,NGC253,11.888122697386494,-25.288230046176604,3,0.04417446750223596,"[99.82..101.70GHz,976.56kHz,2.49mJy/beam@10km/s,0.11uJy/beam@native, XX YY,line] U [101.68..103.56GHz,976.56kHz,2.47mJy/beam@10km/s,0.11uJy/beam@native, XX YY,line] U [111.81..113.69GHz,976.56kHz,1.73mJy/beam@10km/s,0.08uJy/beam@native, XX YY,line] U [113.77..115.64GHz,976.56kHz,1.72mJy/beam@10km/s,0.08uJy/beam@native, XX YY,line]",2015-04-25,5,0.7403315450487087,2.5319514399572776,12m,mosaic,15.59192863891323,99.03920042954945,Active galaxies,"Starbursts, star formation, Outflows, jets, feedback",2537.737,97.37269223206086,-87.96400792351382,976.6588083553137, XX YY,38.32628,247.91914,2013-11-19,"Bolatto, Alberto",NGC253_115_12m_C32-1234,"Scoville, Nick; Ott, Juergen; Walter, Fabian; Leroy, Adam; Ostriker, Eve; Weiss, Axel; Zwaan, Martin; Rosolowsky, Erik; Hodge, Jacqueline; Veilleux, Sylvain;",1.7153935582332054,0.6242012977600098,uid://A002/X5a9a13/X716,uid://A002/X5a9a13/X717,4,"A Deeper Look into the Life Cycle of the Molecular Gas in the Nearest Nuclear Starburst: GMCs, Molecular Superwind, and Feedback",S,TARGET WVR,PASS,
2013.1.00191.S,NGC253,11.892605988336035,-25.28994581256893,6,0.27943944621069383,"[216.06..218.05GHz,1938.48kHz,9.46mJy/beam@10km/s,0.57uJy/beam@native, XX YY,line] U [217.91..218.90GHz,1938.48kHz,9.17mJy/beam@10km/s,0.78uJy/beam@native, XX YY,line] U [218.81..219.81GHz,1938.48kHz,9.15mJy/beam@10km/s,0.78uJy/beam@native, XX YY,line] U [229.84..230.84GHz,1938.48kHz,8.96mJy/beam@10km/s,0.79uJy/beam@native, XX YY,line] U [230.74..231.74GHz,1938.48kHz,8.95mJy/beam@10km/s,0.79uJy/beam@native, XX YY,line] U [231.62..233.61GHz,1938.48kHz,8.92mJy/beam@10km/s,0.56uJy/beam@native, XX YY,line]",2015-08-27,4,5.151843259306239,2.4875006514141194,7m,mosaic,31.671355189873577,66.2789484913951,Active galaxies,"Starbursts, star formation",2346.746,97.45561426829767,-87.967283157455,1938.3555305294792, XX YY,8.868583,30.307482,2014-06-28,"Bolatto, Alberto",NGC253_a_06_7M,"Walter, Fabian; Ostriker, Eve; Zwaan, Martin; Meier, David; Scoville, Nick; Zschaechner, Laura; Ott, Juergen; Leroy, Adam; Warren, Steven; Weiss, Axel; Rosolowsky, Erik; Veilleux, Sylvain;",8.92312179197331,1.7999999523162842,uid://A001/X12e/X1d7,uid://A001/X12e/X1da,3,Blowin' in the Wind: the Properties of the Starburst-driven Wind in NGC 253,S,TARGET,PASS,
2013.1.00099.S,NGC253,11.888058,-25.2888,7,0.07683613175710098,"[350.54..352.41GHz,3904.30kHz,1.58mJy/beam@10km/s,0.12uJy/beam@native, XX YY,line] U [362.17..364.04GHz,3904.30kHz,1.57mJy/beam@10km/s,0.13uJy/beam@native, XX YY,line] U [363.59..365.46GHz,3904.30kHz,1.92mJy/beam@10km/s,0.15uJy/beam@native, XX YY,line]",2015-09-12,3,0.332035867097734,3.2026020729609885,12m,,2.897941725120176,16.26528238465239,Active galaxies,"Starbursts, star formation, Merging and interacting galaxies",1965.6,97.36438740707501,-87.96450305945716,3904.101199621287, XX YY,58.590645,298.60104,2014-05-19,"Mangum, Jeffrey",NGC253_a_07_TE,"Muehle, Stefanie; Aalto, Susanne; Spaans, Marco; Henkel, Christian; van der Werf, Paul;",1.5662306809605648,0.7074509263038635,uid://A001/X122/X4b,uid://A001/X122/X4c,1,Dense Gas Thermometry of Starburst Galaxies,S,TARGET WVR,PASS,ari_l
2013.1.00099.S,NGC253,11.888058,-25.2888,7,0.5938674997576289,"[350.48..352.47GHz,3904.30kHz,12.64mJy/beam@10km/s,0.97uJy/beam@native, XX YY,line] U [362.11..364.10GHz,3904.30kHz,12.51mJy/beam@10km/s,0.98uJy/beam@native, XX YY,line] U [363.53..365.52GHz,3904.30kHz,15.07mJy/beam@10km/s,1.18uJy/beam@native, XX YY,line]",2015-10-07,3,0.5473109388519432,3.202054714804459,7m,,19.21507230787595,27.883339784853582,Active galaxies,"Starbursts, star formation, Merging and interacting galaxies",3931.2,97.36438740707501,-87.96450305945716,3904.059566710908, XX YY,9.069443,107.57846,2014-05-19,"Mangum, Jeffrey",NGC253_a_07_7M,"Muehle, Stefanie; Aalto, Susanne; Spaans, Marco; Henkel, Christian; van der Werf, Paul;",12.510453773738927,0.9100000262260437,uid://A001/X122/X4b,uid://A001/X122/X4e,2,Dense Gas Thermometry of Starburst Galaxies,S,TARGET WVR,PASS,ari_l
2012.1.00657.S,NGC_253,11.88875,-25.289722222222224,3,0.020696985778187606,"[98.49..100.36GHz,976.56kHz,0.95mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line] U [98.79..100.66GHz,976.56kHz,0.95mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line] U [109.93..111.80GHz,976.56kHz,0.97mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line] U [111.93..113.80GHz,976.56kHz,0.96mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line]",2015-11-12,1,0.940302941006045,2.5724879500207445,12m,,7.83054390070593,54.85921270964814,ISM and star formation,Astrochemistry,1149.12,97.3693071678149,-87.96560371892474,976.5108034303266, XX YY,73.133095,355.62842,2014-07-21,"Takano, Shuro",NGC_253,"Herbst, Eric; Izumi, Takuma; Kohno, Kotaro; Nakajima, Tac; Harada, Nanase;",0.9500877730984879,1.86750328540802,uid://A002/X7d1738/X120,uid://A002/X7d1738/X121,1,"Effects of active galactic nucleus and starburst in the nearby galaxies NGC 1068 and NGC 253: High resolution images of CN, SO, and HC3N at the 100 GHz region",S,TARGET,PASS,
